Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
 26.22      0.11     0.11 16777217     0.00     0.00  mlDequeue
 23.84      0.21     0.10 16777217     0.00     0.00  mtDelThread
 16.69      0.28     0.07  8430552     0.00     0.00  mlSortIn
 14.30      0.34     0.06 12624856     0.00     0.00  mtNewThread
  7.15      0.37     0.03                             main
  5.96      0.40     0.03  8430549     0.00     0.00  compareReadyTimes
  3.58      0.41     0.02        1    15.02    15.02  shuffleIntArray
  2.38      0.42     0.01  4194309     0.00     0.00  mlEnqueue
  0.00      0.42     0.00        8     0.00     0.00  mlGetNumNodes
  0.00      0.42     0.00        4     0.00     0.00  beginTest
  0.00      0.42     0.00        4     0.00     0.00  endTest
  0.00      0.42     0.00        1     0.00     0.00  mlDelList
  0.00      0.42     0.00        1     0.00     0.00  mlNewList
